scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence,prediction_error,z_redistributed,vx,vy,vz,vyaw,pose_uncertainty,velocity_uncertainty,innovation_x,innovation_y,innovation_z,innovation_yaw,innovation_magnitude
0,cloud000000.pcd,0.013805268424509963,0.021292832918283225,0.0,-0.04147406097557478,-2.3762886531686647,0.1,0.04863227977312941,True,0.0,0.0,0.0,0.0,0.006540032834313304,40.0,0.01380827764085797,0.0212974742435326,0.0,-0.04148310132296016,0.04863227977312941
1,cloud000005.pcd,0.03824184982102728,0.03579828182005821,0.0,-0.04119403023479347,-2.3602440735879733,0.1,0.05411182767460893,True,0.0,0.0,0.0,0.0,0.003105285760698854,40.0,0.04652920485063811,0.027619534518741724,0.0,0.0005332009208189188,0.05411182767460893
2,cloud000010.pcd,0.06404087951397543,0.05358693145334714,0.0,-0.05986209037427283,-3.4298451312765437,0.5219578063678616,0.11560523612235613,True,0.0,0.0,0.0,0.0,0.0021254908444110036,40.0,0.08176543897376409,0.05637796317641847,0.0,-0.05916509846532646,0.11560523612235613
3,cloud000015.pcd,0.1016424148614942,0.06595483544875227,0.0,-0.06979814822631482,-3.999139311196372,0.5261119421118219,0.16227852270599244,True,0.0,0.0,0.0,0.0,0.0015909522192973746,40.0,0.14951533298566733,0.049178611115670526,0.0,-0.03950883879030064,0.16227852270599244
4,cloud000020.pcd,0.12244061027137804,0.07667181726658825,0.0,-0.07876233637945866,-4.512749459132686,0.5193694940997946,0.16378217883265114,True,0.0,0.0,0.0,0.0,0.0013475678903785877,40.0,0.13595343540150176,0.07005465938539185,0.0,-0.0585970153173089,0.16378217883265114
5,cloud000025.pcd,0.17284731278254398,0.09114919547159164,0.0,-0.09650030304124586,-5.529060085996851,0.5173467485129796,0.34322168251700463,True,0.0,0.0,0.0,0.0,0.0011301997797279507,40.0,0.31249503164124076,0.08975212689726283,0.0,-0.10996605961277826,0.34322168251700463
6,cloud000030.pcd,0.21876204061656818,0.08595077309379633,0.0,-0.09907114524193683,-5.676358493890567,0.5325758150137051,0.36442742185838206,True,0.0,0.0,0.0,0.0,0.0009866729373458707,40.0,0.3615547795173749,-0.04093489268707365,0.0,-0.02024405520609397,0.36442742185838206
7,cloud000035.pcd,0.2739869723927936,0.09414297590358889,0.0,-0.11003827243936022,-6.304728595686067,0.5294235765005538,0.45515099816531207,True,0.0,0.0,0.0,0.0,0.0008633336720595486,40.0,0.4417810179567235,0.06553488759901284,0.0,-0.08773335632121824,0.45515099816531207
8,cloud000040.pcd,0.3373688257903826,0.09389185579068857,0.0,-0.11643886499392828,-6.671455535445674,0.5333160016766099,0.5703420190648939,True,0.0,0.0,0.0,0.0,0.0007669030756220357,40.0,0.5674515218482739,-0.002248253760238253,0.0,-0.057303877862910746,0.5703420190648939
9,cloud000045.pcd,0.39857537675513804,0.09445679724306012,0.0,-0.12155740148598729,-6.9647260737243535,0.5259270453881624,0.605997625951722,True,0.0,0.0,0.0,0.0,0.0006891711948779674,40.0,0.6038641043112254,0.005573714884229905,0.0,-0.05049950381849369,0.605997625951722
10,cloud000050.pcd,0.4599677508396479,0.08695347966641086,0.0,-0.12047403975180675,-6.902654018669835,0.5206206279014743,0.6888529802048637,True,0.0,0.0,0.0,0.0,0.0006272839328377073,40.0,0.6836601701834293,-0.08355629584109282,0.0,0.012064222610785198,0.6888529802048637
