scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence
0,cloud000000.pcd,-0.02705074344430524,-0.004870587658343892,0.0008497179735934474,-0.031085969576230815,-1.7810948587901059,0.0
1,cloud000005.pcd,-0.06591091427351745,-0.02776436427720494,0.00260163735237553,-0.04626132801825589,-2.650578850116367,0.0
2,cloud000010.pcd,-0.04264412103406146,-0.008592886207093468,0.011732341577686772,-0.09563276879833665,-5.479354035295076,0.20502971453756733
3,cloud000015.pcd,0.02740677502969322,-0.02975454154853557,0.014455419139448245,-0.17509061157729264,-10.031953075743298,0.27105857446676446
4,cloud000020.pcd,0.054628437667112534,-0.07218094812527134,0.016312628160840222,-0.28319793981495756,-16.226046718196965,0.27091913477324986
5,cloud000025.pcd,0.061255172575329496,-0.0674276593463098,0.021878070692169842,-0.3402740144265338,-19.496264904614076,0.2712167153230512
6,cloud000030.pcd,0.0036468997393836536,-0.037109612232544595,0.02743489488292344,-0.2710811214882106,-15.531804166947598,0.27126086624555723
7,cloud000035.pcd,-0.02438049043701563,-0.05097389907129213,0.030636889885699174,-0.33324033225925037,-19.093264601992303,0.2693950948217725
8,cloud000040.pcd,0.017278692995546234,-0.021510402573869342,0.030835451022602742,-0.38157101120003095,-21.86240852630084,0.2703661393816353
9,cloud000045.pcd,0.06351051433136179,-0.05179430332817841,0.04156926316191525,-0.42435563312675345,-24.31378679076492,0.2692705958998277
10,cloud000050.pcd,-0.0025272880368790024,-0.10769350271363888,0.03451670153684241,-0.5795760879732748,-33.20726374757155,0.2710414841435568
11,cloud000055.pcd,0.0006171011078180025,-0.10875944201608177,0.03817138182378546,-0.6298203190329099,-36.086046132168775,0.2717732813509171
12,cloud000060.pcd,0.03449967754433533,-0.17967900898703673,0.041652608350584,-0.6866442986592299,-39.341820339894284,0.2701601893748811
13,cloud000065.pcd,0.059174982128330784,-0.17889184508996087,0.04394543744784957,-0.7291260701131583,-41.775846550443724,0.270616514773441
14,cloud000070.pcd,0.01431899871865519,-0.11012656841002126,0.04399723951606776,-0.5994184039565118,-34.344144709176014,0.27149385863974523
15,cloud000075.pcd,0.011372115531295277,-0.1356148829769276,0.043373835289463904,-0.6281072115567313,-35.98789230393143,0.272008216290276
