x,y,z
0.000000,0.000000,0.000000
-0.104024,0.022283,0.014681
-0.085688,0.016545,0.007442
-0.109461,0.018410,0.003955
-0.086821,0.004899,-0.000654
0.209501,-0.009452,0.016377
0.291317,-0.015699,0.017296
0.316047,-0.033611,0.014945
0.370400,-0.061471,0.009487
0.556028,-0.138245,-0.003431
0.629291,-0.172202,0.000635
0.484474,-0.140468,0.000589
0.469774,-0.159229,-0.011490
0.340851,-0.170790,-0.010116
0.434058,-0.189358,-0.019095
0.546060,-0.147685,-0.021383
0.382220,-0.158316,0.005303
0.366942,-0.146402,0.001141
0.323792,-0.161178,0.003511
0.326771,-0.166229,0.005626
0.321748,-0.178574,0.006797
0.446106,-0.176197,-0.014776
0.474870,-0.195363,-0.014225
0.516173,-0.207576,-0.016294
0.450101,-0.201933,-0.014980
0.403940,-0.185501,-0.007384
0.472516,-0.193441,-0.021597
0.388130,-0.212425,-0.004434
0.390512,-0.224539,0.004850
0.347559,-0.244765,0.015814
0.365586,-0.237875,0.006891
0.358839,-0.247795,0.004226
0.361609,-0.250740,0.007679
0.439848,-0.228692,-0.000188
0.433692,-0.244685,0.006691
0.431672,-0.248842,0.011278
0.465586,-0.257192,0.000350
0.444684,-0.277054,0.003469
0.429352,-0.290453,0.015342
0.404414,-0.328516,0.029929
0.400049,-0.342619,0.032304
0.374988,-0.367236,0.063005
0.382643,-0.367093,0.056715
0.339422,-0.387921,0.067013
0.352552,-0.394498,0.073205
0.386564,-0.331313,0.047743
0.463953,-0.294041,0.015913
0.537561,-0.259693,-0.015715
0.574924,-0.270691,-0.027889
0.515024,-0.342351,0.040527
0.542747,-0.342898,0.025058
0.554769,-0.327961,0.006775
0.579649,-0.297655,-0.002882
0.567021,-0.319586,0.010344
0.555155,-0.357774,0.027284
0.604124,-0.307228,-0.012683
0.619197,-0.310669,-0.022346
0.592619,-0.313626,-0.018681
0.636270,-0.304710,-0.045757
0.719226,-0.215124,-0.097505
0.700954,-0.195289,-0.097348
0.679804,-0.225462,-0.082832
0.655612,-0.266170,-0.054500
0.687700,-0.212451,-0.092119
0.671397,-0.239421,-0.043585
